-1.44	6.97	6.67	1
-1.5	6.9	6.62	1
-1.5	6.9	6.61	1
-1.5	6.77	6.84	1
-1.47	7.11	6.91	1
-1.49	6.9	6.78	1
-1.45	6.91	6.63	1
-1.61	6.91	6.7	1
-1.57	6.97	6.56	1
-1.58	6.86	6.66	1
-1.63	6.72	6.72	1
-1.39	6.82	6.71	1
-1.49	6.92	6.48	1
-1.6	6.93	6.57	1
-1.45	6.85	6.55	1
-1.48	6.9	6.72	1
-1.52	6.98	6.61	1
-1.17	6.84	6.76	1
-1.5	6.94	6.47	1
-1.4	6.85	6.78	1
-1.54	7.09	7.27	1
-1.51	6.6	6.83	1
-1.54	6.8	6.85	1
-1.58	6.78	6.65	1
-1.57	6.95	6.79	1
-1.59	7	6.54	1
-1.45	6.89	6.51	1
-1.49	6.84	6.66	1
-1.45	6.83	6.79	1
-1.39	6.9	6.73	1
-1.51	6.86	6.69	1
-1.49	6.95	6.79	1
-1.5	6.95	6.62	1
-1.44	6.75	6.7	1
-1.42	6.82	6.74	1
-1.25	6.87	6.77	1
-1.34	6.83	6.76	1
-1.49	6.86	6.78	1
-1.6	7.12	7	1
-1.46	6.95	6.57	1
-1.51	6.88	6.79	1
-1.64	6.86	6.79	1
-1.67	6.89	6.77	1
-1.67	7.13	6.71	1
-1.44	6.89	6.63	1
-1.54	6.93	6.62	1
-1.74	6.68	6.85	1
-1.55	6.99	6.6	1
-1.5	6.83	6.78	1
-1.37	6.88	6.66	1
-1.4	6.95	6.56	1
-1.46	6.81	6.7	1
-1.45	6.78	6.69	1
-1.44	6.91	6.79	1
-1.41	6.97	6.33	1
-1.43	6.82	6.26	1
-1.75	6.78	6.62	1
-1.53	6.9	6.6	1
-1.53	6.78	6.66	1
-1.53	6.97	6.59	1
-1.57	6.97	6.56	1
-1.55	7.04	6.56	1
-1.63	6.93	6.55	1
-1.58	6.83	6.66	1
-1.43	6.86	6.68	1
-1.46	6.88	6.58	1
-1.46	6.93	6.81	1
-1.37	6.98	6.79	1
-1.53	6.87	6.62	1
-1.51	6.67	6.62	1
-1.47	6.94	6.75	1
-1.57	6.87	6.74	1
-1.46	6.95	6.73	1
-1.5	6.89	6.71	1
-1.42	6.85	6.75	1
-1.55	6.85	6.69	1
-1.54	6.91	6.67	1
-1.43	7.13	6.44	1
-1.48	6.86	6.87	1
-1.54	6.94	6.62	1
-1.63	6.69	7.11	1
-1.54	6.84	6.9	1
-1.45	6.73	6.9	1
-1.61	7.12	6.8	1
-1.48	6.85	6.65	1
-1.47	6.72	6.86	1
-1.46	6.83	6.66	1
-1.45	6.87	6.25	1
-1.49	6.87	6.89	1
-1.53	6.56	6.75	1
-1.65	6.69	6.8	1
-1.55	6.89	6.61	1
-1.56	6.94	6.69	1
-1.73	6.9	6.62	1
-1.55	6.88	6.64	1
-1.51	6.84	6.83	1
-1.53	6.76	6.79	1
-1.19	6.86	6.72	1
-1.44	7.14	6.95	1
-1.3	6.84	6.65	1
-1.46	6.83	6.84	1
-1.53	6.99	6.67	1
-1.33	6.88	6.64	1
-1.49	6.85	6.78	1
-1.45	6.79	6.79	1
-1.48	6.83	6.95	1
-1.42	6.78	6.79	1
-1.51	7.02	6.87	1
-1.51	6.79	6.86	1
-1.53	6.87	6.6	1
-1.49	6.69	6.76	1
-1.48	6.84	6.85	1
-1.51	6.84	6.82	1
-1.58	6.87	6.99	1
-1.67	6.69	6.8	1
-1.46	6.78	6.85	1
-1.52	6.89	6.74	1
-1.58	6.96	6.41	1
-1.54	6.76	6.79	1
-1.58	6.92	6.38	1
-1.57	6.81	6.88	1
-1.46	6.86	6.74	1
-1.53	6.92	6.74	1
